Playback mode: Real-time x5
Flight log started
t = 132691 ms, altitude = 28.3, az = 0.98, temperature = 17.32, battery = 12.2558, state = Descent
t = 133064 ms, altitude = 26.32, az = 0.92, temperature = 17.31, battery = 12.2556, state = Descent
t = 133437 ms, altitude = 24.71, az = 1.08, temperature = 17.31, battery = 12.2555, state = Descent
t = 133810 ms, altitude = 22.9, az = 1.29, temperature = 17.31, battery = 12.2554, state = Descent
t = 134185 ms, altitude = 21.08, az = 1.2, temperature = 17.31, battery = 12.2553, state = Descent
t = 134557 ms, altitude = 19.27, az = 0.86, temperature = 17.29, battery = 12.2551, state = Descent
t = 134930 ms, altitude = 17.39, az = 0.96, temperature = 17.28, battery = 12.255, state = Descent
t = 135302 ms, altitude = 15.52, az = 1.06, temperature = 17.27, battery = 12.2549, state = Descent
t = 135673 ms, altitude = 13.81, az = 0.9, temperature = 17.24, battery = 12.2548, state = Descent
t = 136049 ms, altitude = 12.04, az = 0.34, temperature = 17.25, battery = 12.2547, state = Descent
t = 136422 ms, altitude = 10.46, az = 0.24, temperature = 17.26, battery = 12.2545, state = Descent
t = 136795 ms, altitude = 9.1, az = -0, temperature = 17.27, battery = 12.2544, state = Descent
t = 137158 ms, altitude = 7.87, az = 0.02, temperature = 17.29, battery = 12.2543, state = Descent
t = 137522 ms, altitude = 6.77, az = 0, temperature = 17.3, battery = 12.2542, state = Descent
t = 137889 ms, altitude = 5.81, az = 0.02, temperature = 17.32, battery = 12.254, state = Descent
t = 138253 ms, altitude = 4.97, az = 0.01, temperature = 17.33, battery = 12.2539, state = Descent
t = 138615 ms, altitude = 4.22, az = -0.02, temperature = 17.33, battery = 12.2538, state = Descent
t = 138979 ms, altitude = 3.53, az = 0.02, temperature = 17.33, battery = 12.2537, state = Descent
t = 139341 ms, altitude = 2.93, az = 0.02, temperature = 17.33, battery = 12.2536, state = Descent
t = 139708 ms, altitude = 2.36, az = 0.01, temperature = 17.33, battery = 12.2534, state = Descent
t = 140071 ms, altitude = 1.86, az = -0.02, temperature = 17.34, battery = 12.2533, state = Landed
t = 140435 ms, altitude = 1.43, az = 0.03, temperature = 17.34, battery = 12.2532, state = Landed
t = 140800 ms, altitude = 1.07, az = -0.01, temperature = 17.35, battery = 12.2531, state = Landed
t = 141163 ms, altitude = 0.73, az = 0.04, temperature = 17.35, battery = 12.2529, state = Landed
t = 141542 ms, altitude = 0.39, az = 0, temperature = 17.35, battery = 12.2528, state = Landed
t = 141906 ms, altitude = 0.13, az = 0.03, temperature = 17.36, battery = 12.2527, state = Landed
t = 142271 ms, altitude = -0.09, az = 0.04, temperature = 17.37, battery = 12.2526, state = Landed
[Error] AltitudeNegative at t = 142271 ms
